                                     | Core 0    
  Instructions                       |    4912955
  Cycles                             |    3219132
  IPC                                |       1.53
  Time (ns)                          |    1210200
  Idle time (ns)                     |        149
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |     575715
  num incorrect                      |       6153
  misprediction rate                 |      1.06%
  mpki                               |       1.25
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |     636503
    num misses                       |        148
    miss rate                        |      0.02%
    mpki                             |       0.03
  D-TLB                              |           
    num accesses                     |    1908135
    num misses                       |       1658
    miss rate                        |      0.09%
    mpki                             |       0.34
  L2 TLB                             |           
    num accesses                     |       1806
    num misses                       |        506
    miss rate                        |     28.02%
    mpki                             |       0.10
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |     636503
    num cache misses                 |       2048
    miss rate                        |      0.32%
    mpki                             |       0.42
  Cache L1-D                         |           
    num cache accesses               |    1908135
    num cache misses                 |      23388
    miss rate                        |      1.23%
    mpki                             |       4.76
  Cache L2                           |           
    num cache accesses               |      25762
    num cache misses                 |      15661
    miss rate                        |     60.79%
    mpki                             |       3.19
  Cache L3                           |           
    num cache accesses               |      15993
    num cache misses                 |      14119
    miss rate                        |     88.28%
    mpki                             |       2.87
DRAM summary                         |           
  num dram accesses                  |      14119
  average dram access latency (ns)   |      55.18
  average dram queueing delay        |       1.75
  average dram bandwidth utilization |      9.00%
Coherency Traffic                    |           
  num loads from dram                |       8384
  num loads from dram cache          |          0
  num loads from remote cache        |          0
